DIFFUSION COEFFICIENT ESTIMATE
INPUT:
Trajectory: /private/var/folders/9f/v20z5m6d4msfwphgck_0bqsh0000gn/T/pytest-of-dm/pytest-7/test_finite_size_correction0/test_traj.dat
Number of dimensions : 3
Min/max timestep: 1/20
Number of segments: 2
Total number of trajectory data points per dim.: 5001
Data points per segment and dim.: 2500
Your chosen diffusion coefficient at 10 ps: 0.1033702272910932 nm^2/ps
DIFFUSION COEFFICIENT OUTPUT SUMMARY:
t[ps] D[nm^2/ps] varD[nm^4/ps^2] Q
1 0.099024 7.892e-06 0.63383
2 0.099963 1.5862e-05 0.56107
3 0.10017 2.3855e-05 0.20371
4 0.09543 2.9862e-05 0.50735
5 0.095028 3.7535e-05 0.28047
6 0.096919 4.6857e-05 0.11472
7 0.097855 5.4047e-05 0.31654
8 0.094972 6.0895e-05 0.59880
9 0.10034 7.244e-05 0.25866
10 0.10337 8.431e-05 0.30601
11 0.10631 9.1996e-05 0.19044
12 0.10195 9.8042e-05 0.44813
13 0.099236 0.00010732 0.25074
14 0.10358 0.00011819 0.46814
15 0.10758 0.00012678 0.26074
16 0.10339 0.00013071 0.44454
17 0.1033 0.00013673 0.36358
18 0.10783 0.00016564 0.68063
19 0.10371 0.00017135 0.66910
20 0.099459 0.00016817 0.50364

DIFFUSION COEFFICIENT PER DIMENSION:
TIMESTEP Dx[nm^2/ps] Dy[nm^2/ps] ...
1.0000 [0.09661132 0.10248875 0.09797083]
2.0000 [0.09589679 0.10348236 0.1005086 ]
3.0000 [0.09509037 0.10245331 0.10297658]
4.0000 [0.08742057 0.09822644 0.10064437]
5.0000 [0.08518914 0.1044926  0.09540244]
6.0000 [0.08784238 0.10282784 0.10008811]
7.0000 [0.0872554  0.10464243 0.10166598]
8.0000 [0.08886569 0.10052158 0.0955278 ]
9.0000 [0.09016124 0.11259723 0.09825037]
10.0000 [0.09099705 0.11584053 0.10327309]
11.0000 [0.0973894  0.12006508 0.10146478]
12.0000 [0.0929317  0.1146261  0.09828611]
13.0000 [0.08198742 0.11458909 0.10113097]
14.0000 [0.08596091 0.12302653 0.10174714]
15.0000 [0.09299008 0.12234903 0.10740155]
16.0000 [0.09313565 0.11745657 0.09957704]
17.0000 [0.08764187 0.11939582 0.10286049]
18.0000 [0.09696631 0.11665244 0.10988249]
19.0000 [0.08458279 0.11667707 0.10988219]
20.0000 [0.08744636 0.10566931 0.10526047]
